Name,Family,Infraorder,Suborder,Order,Taxon Size,Diet,Max MYA,Min MYA,Lifespan (MYA),Early Age,Late Age,Early Period,Late Period,Avialae
Ajkaceratops,,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,86.3,83.6,2.700000000000003,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous,False
Turanoceratops,,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,93.9,89.8,4.1000000000000085,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous,False
Zuniceratops,,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,93.9,89.8,4.1000000000000085,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous,False
Bagaceratops,Protoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Breviceratops,Protoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,False
Protoceratops,Protoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,2,Herbivore,86.3,72.1,14.200000000000003,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous,False
Chaoyangsaurus,Chaoyangsauridae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,152.2,132.6,19.599999999999994,Kimmeridgian,Valanginian,Upper Jurassic,Lower Cretaceous,False
Hualianceratops,Chaoyangsauridae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,161.5,154.8,6.699999999999989,Oxfordian,Oxfordian,Upper Jurassic,Upper Jurassic,False
Stenopelix,Chaoyangsauridae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,140.6,139.8,0.799999999999983,Berriasian,Berriasian,Lower Cretaceous,Lower Cretaceous,False
Xuanhuaceratops,Chaoyangsauridae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,152.2,132.6,19.599999999999994,Kimmeridgian,Valanginian,Upper Jurassic,Lower Cretaceous,False
Yinlong,Chaoyangsauridae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,161.5,154.8,6.699999999999989,Oxfordian,Oxfordian,Upper Jurassic,Upper Jurassic,False
Cerasinops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,False
Ferrisaurus,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Gremlin,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,False
